EmployeeID,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,DistanceFromHome,JobSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,TrainingTimesLastYear,Attrition
1,59,IT,Lead,149714,5,29,2,4,3,Yes,4,No
2,49,R&D,Associate,129988,18,5,4,2,2,Yes,3,No
3,35,Sales,Associate,128944,3,9,1,1,3,No,5,No
4,28,R&D,Analyst,52441,12,2,2,1,1,No,2,No
5,41,Sales,Manager,126966,23,1,4,4,4,No,1,No
6,59,Sales,Lead,59129,13,30,2,2,4,No,1,Yes
7,39,R&D,Lead,120252,2,11,3,1,4,No,5,No
8,43,R&D,Associate,82368,9,28,2,4,4,Yes,0,Yes
9,31,Finance,Manager,130395,5,12,1,1,2,Yes,5,Yes
10,31,R&D,Analyst,112122,0,39,2,2,2,No,0,Yes
11,44,HR,Manager,64760,22,26,1,2,3,No,0,No
12,56,HR,Executive,149655,23,13,3,2,2,No,5,No
13,44,Sales,Manager,43478,13,8,1,1,1,Yes,1,Yes
14,23,IT,Executive,147881,7,28,2,3,1,Yes,2,Yes
15,42,Sales,Executive,91854,18,30,4,1,4,Yes,1,No
16,22,Finance,Analyst,114230,13,9,3,3,1,No,1,No
17,44,Sales,Associate,105716,9,39,2,2,3,No,1,No
18,50,R&D,Manager,32180,16,31,3,4,2,No,5,No
19,58,Sales,Executive,118538,8,21,3,3,2,No,5,No
20,22,Finance,Manager,35372,5,34,2,2,2,No,5,Yes
21,41,R&D,Associate,49796,10,31,2,2,1,No,1,Yes
22,53,HR,Associate,78272,24,25,4,3,2,Yes,2,No
23,32,Sales,Lead,138295,6,12,3,4,4,No,0,No
24,42,IT,Associate,109963,16,1,3,2,4,No,4,No
25,45,Sales,Analyst,118826,0,22,2,3,4,Yes,0,Yes
26,47,Finance,Executive,140592,21,37,1,4,1,No,0,No
27,48,Sales,Lead,113635,4,1,2,4,2,No,4,No
28,36,Sales,Analyst,131022,8,1,3,2,1,No,1,No
29,35,Sales,Manager,74040,17,21,2,1,2,No,2,Yes
30,23,R&D,Executive,95357,23,15,4,1,3,No,2,No
31,57,HR,Associate,91368,20,17,1,2,3,No,0,Yes
32,27,Sales,Executive,98356,1,22,2,4,1,Yes,4,Yes
33,41,IT,Manager,36211,10,38,4,2,4,Yes,3,No
34,29,R&D,Lead,125426,5,35,3,3,1,Yes,1,No
35,59,R&D,Lead,25842,7,16,2,1,4,Yes,0,Yes
36,38,R&D,Lead,83115,3,8,3,3,2,No,2,No
37,24,R&D,Associate,86852,17,17,4,2,4,No,5,No
38,45,HR,Analyst,145737,10,17,3,2,4,Yes,5,No
39,34,Sales,Analyst,65968,4,26,4,4,2,No,4,No
40,29,Sales,Executive,37508,14,13,4,4,3,Yes,4,No
41,46,Finance,Associate,42005,17,17,4,4,2,No,0,No
